,text,labels
0,Михайло Коцюбинський.,0
1,"Тіні забутих предків
Іван був дев'ятнадцятою дитиною в гуцульській родині Палійчуків.",-1
2,Двадцятою і останньою була Анничка.,0
3,"Не знати, чи то вічний шум Черемошу і скарги гірських потоків, що сповняли самотню хату на високій кичері([1]), чи сум чорних смерекових лісів лякав дитину, тільки Іван все плакав, кричав по ночах, погано ріс і дивився на неню таким глибоким, старече розумним зором, що мати в тривозі одвертала од нього очі.",-1
4,"Не раз вона з ляком думала навіть, що то не од неї дитина.",0
5,"Не ""сокотилася"" баба при злогах, не обкурила десь хати, не засвітила свічки - і хитра бісиця встигла обміняти її дитину на своє бісеня.",-1
6,"Туго росла дитина, а все ж підростала, і не стямились навіть, як довелося шить їй штани.",0
7,Але так само була чудна.,0
8,"Дивиться перед себе, а бачить якесь далеке і не відоме нікому або без причини кричить.",1
9,"Гачі([2]) на йому спадають, а воно стоїть серед хати, заплющило очі, роззявило рота і верещить.",0
10,"Тоді мати виймала люльку з зубів і, замахнувшись на нього, люто гукала:

- Ігі на тебе!",-1
11,"Ти, обмініннику.",0
12,"Щез би у озеро та в тріски!…

І він щезав.",0
13,"Котивсь зеленими царинками([3]), маленький і білий, наче банька кульбаби, безстрашно забирався у темний ліс, де гаджуги([4]) кивали над ним галузками, як ведмідь лабами.",-1
14,"Звідси дивився на гори, близькі й далекі верхи, що голубіли на небі, на смерекові чорні ліси з їх синім диханням, на ясну зелень царинок, що, мов дзеркала, блищали в рамах дерев.",1
15,"Під ним, в долині, кипів холодний Черемош.",-1
16,По далеких горбах дрімали на сонці самотні оселі.,-1
17,"Були так тихо і сумно, чорні смереки безперестанку спускали сум свій в Черемош, а він ніс його долом й оповідав.",-1
18,- Іва!… Мо-ой!,0
19,"- гукали на Івана од хати, але він того не слухав, збирав малини, пукав з листочків, робив свистілку або пищав у травинку, намагаючись вдати голоси птахів та всі ті згуки, що чув у лісі.",-1
20,"Ледве помітний в лісовім зелі, збирав квітки і косичив ними свою кресаню (бриль), а утомившись, лягав десь під сіном, що сохло на остривах([5]), і співали йому до сну та й будили його своїм дзвоном гірські потоки.",-1
21,"Коли Іванові минуло сім літ, він уже дивився на світ інакше.",1
22,Він знав вже багато.,1
23,"Умів знаходити помічне зілля - одален, матриган і підойму, розумів, про що канькає каня, з чого повстала зозуля, і коли оповідав про все те вдома, мати непевно позирала на нього: може, воно до нього говорить?",0
24,"Знав, що на світі панує нечиста сила, що арідник (злий дух) править усім; що в лісах повно лісовиків, які пасуть там свою маржинку([6]): оленів, зайців і серн; що там блукає веселий чугайстир, який зараз просить стрічного в танець та роздирає нявки; що живе в лісі голос сокири.",1
25,"Вище, по безводних далеких недеях([7]), нявки розводять свої безконечні танки, а по скелях ховається щезник.",-1
26,"Міг би розказати і про русалок, що гарної днини виходять з води на берег, щоб співати пісень, вигадувать байки і молитви, про потопельників, які по заході сонця сушать бліде тіло своє на каменях в річці.",-1
27,"Всякі злі духи заповнюють скелі, ліси, провалля, хати й загороди та чигають на християнина або на маржину, щоб зробити їм шкоду.",-1
28,"Не раз, прокинувшись уночі, серед ворожої тиші, він тремтів, сповнений жахом.",-1
29,"Весь світ був як казка, повна чудес, таємнича, цікава й страшна.",1
30,Тепер він вже мав обов'язки - його посилали пасти корови.,0
31,"Гнав в ліс своїх жовтаню та голубаню, і коли вони потопали в хвилях лісових трав та молодих смеречок і вже звідти обзивались до нього, як з-під води, тужливим дзвоном своїх дзвінків, він сідав десь на узбіччі гори, виймав денцівку (сопілку) і вигравав немудрі пісні, яких навчився од старших.",1
32,Однак та музика не вдовольняла його.,0
33,"З досадою кидав денцівку і слухав інших мелодій, що жили в ньому, неясні і невловимі.",0
34,"Знизу підіймавсь до Івана і затоплював гори глухий гомін ріки, а в нього капав од часу до часу прозорий дзвін колокільця.",0
35,"З-за галузки смереки виглядали зажурені гори, напоєні сумом тіней од хмар, що все стирали бліду усмішку царинок.",-1
36,"Гори щохвилини міняли свій настрій: коли сміялась царинка, хмурився ліс.",0
37,"І як трудно було вдивитись в те рухливе обличчя гір, так трудно було дитині спіймати химерну мелодію пісні, що вилась, тріпала крильцями коло самого вуха і не давалась.",1
38,Одного разу він покинув свої корови і подряпавсь на самий грунь (верх).,0
39,"Ледве помітною стежкою підіймавсь вище і вище, поміж густі зарослі блідої папороті, колючої ожини й малини.",-1
40,"Легко перескакував з камінця на камінчик, перелазив через повалені дерева, продирався крізь гіллячки кущів.",1
41,"За ним підіймався з долини вічний шум річки, росли гори, і вже вставав на крайнебі блакитний привид Чорногори.",0
42,"Довгі плакучі трави крили тепер боки гори, дзвінки корів обзивались, як далеке зітхання, все частіше попадалось велике каміння, що далі, на самім вершку, творило хаос поламаних скель, списаних лишаями, здушених у гадючих обіймах корінням смерек.",-1
43,"Під ногами в Івана кождий камінь вкривали рудаві мхи, грубі м'які, шовкові.",-1
44,"Теплі і ніжні, вони ховали у собі позолочену сонцем воду літніх дощів, м'яко вгинались і обіймали ногу, як пухова подушка.",1
45,"Кучерява зелень гогозів і афин([8]) запустила своє коріння у глибінь моху, а зверху сипнула росою червоних та синіх ягід.",0
46,Тут Іван сів одпочити.,0
