,text,labels
0,"Михайло Коцюбинський був таки великим українським письменником.",1
1,"Яка ж він вихована, порядна людина, - мені завжди дуже приємно з ним спілкуватися.",1
2,"Кепську справу ти зробив, братику, от що я маю тобі сказати.",0
3,"Та нащо ж ви це робите, чи не бачите, що йому це зовсім не потрібно?",0
4,"Чудовий ранок сьогодні, та ще й день вихідний!",1
5,"Ніяк не можу її забути, кожної ночі бачу уві сні, просто хоч плач.",0
6,"Марійка вийшла з дому з таким чудовим настроєм, якого в неї давно вже не було.",1
7,"Ота остання поїздка була зовсім непоганою, особливо порівняно з попередньою",1
8,"Вони дуже люблять свою доньку, та й є за що її любити, щиро кажучи",1
9,"Що ти верзеш, ти шо, зовсім здуріла?",0
10,"Вона майже нічого не зрозуміла з усього того, що він їй казав",0
11,"Просто не можу дочекатися, коли я вже нарешті зможу обійняти свою кохану дружину",1
12,"Усі, чомусь, у захваті від книг Достоєвського, але ж він, відверто кажучи, просто графоман!",0
13,"Оця латина так вже важко дається хлопчику, - все, шо він вчить, одразу забуває.",0
14,"Відверто кажучи, я дуже боюсь літати",0
15,"Можу запропонувати вам філіжанку кави, та ще й тістечка до неї, якщо забажаєте",1
16,"Він розмовляє англійською так добре, ніби то його рідна мова",1
17,"Ваш Вася сьогодні отримав двійку по математиці!",0
18,"Ти знов напився як свиня й вештався бозна де!",0
19,"Непогано, братику, дуже непогано, ще трохи, й ти станеш справжнім митцем",1
20,"Ні,не хочу, дякую",0
21,"Кожного дня життя стає дорожчим і дорожчим, а де я маю брати гроші?",0
22,"Система освіти там досить кепська, але і у нас не краще, відверто кажучи",0
23,"Вибачте, пане вчителю, щось мені дуже болить голова сьогодні",0
24,"Бачили вчора слоненят у зоопарку, - які ж вони милі!",1
25,"Та він завжди був такий сильний та здоровий, ніби його з дитинства гартували спартанці.",1
26,"Сподіваюся, до кінця цієї зими українці зможуть звільнити всю країну від русні.",1
27,"Майже всі його учні досягли чогось у житті.",1
28,"В нашому штаті дороги набагато кращі, аніж у сусідньому, повірте мені!",1
