,0
Михайло Коцюбинський.,0
"Тіні забутих предків
Іван був дев'ятнадцятою дитиною в гуцульській родині Палійчуків.",-1
Двадцятою і останньою була Анничка.,0
"Не знати, чи то вічний шум Черемошу і скарги гірських потоків, що сповняли самотню хату на високій кичері([1]), чи сум чорних смерекових лісів лякав дитину, тільки Іван все плакав, кричав по ночах, погано ріс і дивився на неню таким глибоким, старече розумним зором, що мати в тривозі одвертала од нього очі.",-1
"Не раз вона з ляком думала навіть, що то не од неї дитина.",0
"Не ""сокотилася"" баба при злогах, не обкурила десь хати, не засвітила свічки - і хитра бісиця встигла обміняти її дитину на своє бісеня.",-1
"Туго росла дитина, а все ж підростала, і не стямились навіть, як довелося шить їй штани.",0
Але так само була чудна.,0
"Дивиться перед себе, а бачить якесь далеке і не відоме нікому або без причини кричить.",1
"Гачі([2]) на йому спадають, а воно стоїть серед хати, заплющило очі, роззявило рота і верещить.",0
"Тоді мати виймала люльку з зубів і, замахнувшись на нього, люто гукала:

- Ігі на тебе!",-1
"Ти, обмініннику.",0
"Щез би у озеро та в тріски!…

І він щезав.",0
"Котивсь зеленими царинками([3]), маленький і білий, наче банька кульбаби, безстрашно забирався у темний ліс, де гаджуги([4]) кивали над ним галузками, як ведмідь лабами.",-1
"Звідси дивився на гори, близькі й далекі верхи, що голубіли на небі, на смерекові чорні ліси з їх синім диханням, на ясну зелень царинок, що, мов дзеркала, блищали в рамах дерев.",1
"Під ним, в долині, кипів холодний Черемош.",-1
По далеких горбах дрімали на сонці самотні оселі.,-1
"Були так тихо і сумно, чорні смереки безперестанку спускали сум свій в Черемош, а він ніс його долом й оповідав.",-1
- Іва!… Мо-ой!,0
"- гукали на Івана од хати, але він того не слухав, збирав малини, пукав з листочків, робив свистілку або пищав у травинку, намагаючись вдати голоси птахів та всі ті згуки, що чув у лісі.",-1
"Ледве помітний в лісовім зелі, збирав квітки і косичив ними свою кресаню (бриль), а утомившись, лягав десь під сіном, що сохло на остривах([5]), і співали йому до сну та й будили його своїм дзвоном гірські потоки.",-1
